document_id,clean_text,sentiment
177,ok barbie removed stereotyping name bpoc hairstyle fixed lgbt flag glad leave,Positive
178,rest power ahmaud life mattered,Neutral
179,world premier rock song side new video,Positive
180,like government police think,Neutral
181,callous unfeeling pseudo representative people texas people politics sadly case texas,Negative
182,defund champlin police,Neutral
183,voorhees college private historically black college denmark south carolina affiliated episcopal church accredited southern association college school,Negative
184,fox news type ever seen racism action forget,Positive
185,repair damage country inflicted upon black people century demand reparation justice peace,Negative
186,today man candy,Neutral
187,repair damage country inflicted upon black people century demand reparation justice peace,Negative
188,african american history know,Neutral
189,thank everyone showed attended first black history month showcase ancestor always watchin need,Positive
190,repair damage country inflicted upon black people century demand reparation justice peace,Negative
191,repair damage country inflicted upon black people century demand reparation justice peace,Negative
192,race bubba wallace netflix vivid insightful look great driver motivated athlete brave human stood took issue right support,Positive
193,reflecting life enough marginalized community know life mattered need everyone accountable life mattering cc,Neutral
194,manhattan da get murdered justice trump betrays america nothing happens country burn greg abbott get kill transkids nothing happens fuck country burn til corporation bought leader listen,Negative
195,tue aug portland oregon police shoot protester street watch,Neutral
196,black joy celebrated right student staff hearing speaker community leader local black owned business extended lunch,Positive
197,agreed whole stay lane rock boat mentality across lot broadcasting day local news anchor silenced strayed little far opinion column ownership probably main culprit,Positive
198,gonna change enough curiousness desire change x,Neutral
199,young male go store learns hard way racially profiled color us tip learned parent get,Negative
200,extra denuncie,Neutral
201,stand fact give space lupi negvi platform,Neutral
202,dear outrage black life taken hand two black teenager,Negative
203,extra denuncie,Neutral
204,manhattan da american justice system rigged white rich people go jail jaywalking trump traitor walk free would shame half country burn til true justice,Positive
205,difference culture amp color via,Neutral
206,claim actually listened word ho la morosa ngva lupi negvi platform shame put money mouth,Neutral
207,number reflection classist social construct black white b,Negative
208,blm reaped million donation per impact report published central holding entity black life matter global network foundation blmgnf,Negative
209,know history brothas sistahs,Neutral
210,history show tulsa massacre isolated event via,Neutral
211,brilliant important well worth listen,Positive
212,time,Neutral
213,focus opinion opinion others word spoken canadian supermodel spokesperson winne harlow,Neutral
214,top targeting trans kid also appears ready give assist racist white cop,Positive
215,stand child parent black community large anti black racism cannot tolerated defended swept rug must held accountable failing child completely,Negative
216,eric harris,Neutral
217,three white men convicted chasing murdering young black man ahmaud arbery jogging suburban georgia community found guilty tuesday committing federal hate crime offense killing,Negative
218,japanese allow violence black,Negative
219,difference culture amp color via,Neutral
220,black people never say god already confirmed israelite matter called black hispanic native american visit website,Positive
221,black people never say god already confirmed israelite matter called black hispanic native american visit website,Positive
222,moment silence trayvon pm alongside chapel bell meet u table quad feel free stop wherever sit emotion,Positive
223,childhood back,Neutral
224,highlighting historical figure activist organization next feature patrisse cullors,Neutral
225,katherine johnson loved math early career called computer helped nasa put astronaut orbit around earth helped put man moon,Positive
226,people lose job equality enforced people lose job opportunity equality enforced people lose much inequality people putting people debt educate,Positive
227,wrong wrong matter say,Negative
228,today,Neutral
229,fact dr martin luther king jr birthday made national holiday assistance stevie wonder special lyric happy birthday song,Positive
230,ding ding ding,Neutral
231,rhodes relied primary source including private diary show emancipation military necessity win war myth start humanitarian purpose,Positive
232,black people never say god already confirmed israelite matter called black hispanic native american visit,Positive
233,honoring black history month today every day,Negative
234,solar support coal country,Neutral
235,u took u think u trying turn ur thing run u,Neutral
236,worrying stance chair ehrc allow belief individual group take precedent fundamental human right history show u result imprisonment abuse murder genocide,Positive
237,sam hyde say hi,Neutral
238,video kyle rittenhouse sue lebron james defamation,Neutral
239,self defense murder three men attacked obviously peaceful protester white criminal record,Negative
240,go may god save u ukraine crisis government bank hit cyber attack,Neutral
241,stand hbcus network hbcu campus continue terrorized targeted hate,Negative
242,black people never say god already confirmed israelite matter called black hispanic native american,Positive
243,boy homophobe,Neutral
244,led national movement adopt term african american u nation world address people color amp ancestry,Neutral
245,funny people actually protesting right live along rest treasonous gop demonized u jumping side one murdering poc,Positive
246,putin warns hypersonic missile ready launch day ukraine invasion,Positive
247,good morning amp happy wednesday friendly reminder,Positive
248,twelve year old listen ur gonna care black life like thing bruh gotta care aight check urself duh,Negative
249,day till march thank heaven legit creating narrative one would thought race like blood moon fool,Neutral
250,pretty sure shadowbanned facebook sure platform policy pose real threat transgender people,Positive
251,repair damage country inflicted upon black people century demand reparation justice peace,Negative
252,anthony hill,Neutral
253,hope fired five officer jonathan guzman michael bloom brandon williams miguel hernandez randy carriel lazy policing also hope samuel scott jr win lawsuit,Positive
254,must never forget black holocaust,Negative
255,repair damage country inflicted upon black people century demand reparation justice peace,Negative
256,separation colored people white people united state separation disease colored people disease white people intend quiet albert einstein,Neutral
257,western psychiatry founded criminalization black amp indigenous people resisting colonialism amp enslavement black mental illness death sentence stolen indigenous land rest power latjor tuel,Negative
258,retweeting important,Positive
259,nearly two decade passed since rooney rule adopted nfl thing still changed much minority coach u issue bigger favorite football team,Positive
260,keep posting hateful comment make sure twitter suspended room hate world done,Negative
261,twitter burst happy heavenly birthday many apology life shorten due color flesh point set u back breathe get chased choke brought based spectrum stream outside,Positive
262,sweet sensation sad sweet dreamer,Positive
263,got em another day big deal,Neutral
264,ahmaud arbery killer serve sentence state prison,Neutral
265,frankie valli four season rag doll,Neutral
266,winifred atwell let party,Neutral
267,logo made instagram client,Neutral
268,sad true kyle rittenhouse got away murder research via,Negative
269,david guetta ft ne yo amp akon play hard,Negative
270,new music alert bell toll called new anthem make go viral,Positive
271,defund,Neutral
272,new music alert bell toll called new anthem make go viral,Positive
273,new music alert bell toll called new anthem make go viral,Positive
274,new music alert bell toll called new anthem make go viral,Positive
275,new music alert bell toll called new anthem make go viral,Positive
276,new music alert bell toll called new anthem make go viral,Positive
277,new music alert bell toll called new anthem make go viral,Positive
278,new music alert bell toll called new anthem make go viral,Positive
279,colleague ask well horrified silent bish google amp read book people understand allowed touch hair randoms asking generally piss u tf,Positive
280,gregory gunn,Neutral
281,black people constantly used tool progress group agenda purpose raise money militant leftist one cent went actually make life better black people,Positive
282,vote republican coming mid term voting,Neutral
283,damn banning book safe equitable living condition c traffic death year high low income area hardest hit,Positive
284,new music alert bell toll called new anthem make go viral,Positive
285,new music alert bell toll called new anthem make go viral,Positive
286,new music alert bell toll called new anthem make go viral,Positive
287,new music alert bell toll called new anthem make go viral,Positive
288,new music alert bell toll called new anthem make go viral,Positive
289,tomcraft loneliness,Neutral
290,new music alert bell toll called new anthem make go viral,Positive
291,new music alert bell toll called new anthem make go viral,Positive
292,new music alert bell toll called new anthem make go viral,Positive
293,new music alert bell toll called new anthem make go viral,Positive
294,new music alert bell toll called new anthem make go viral,Positive
295,new music alert bell toll called new anthem make go viral,Positive
296,new music alert bell toll called new anthem make go viral,Positive
297,tell clown black life already matter apparently know either dumb dude fought high school grown protected lil assault law smack anymore,Negative
298,new music alert bell toll called new anthem make go viral,Positive
299,black life still matter today every day justice latjor tuel absolutely excuse shoot unarmed man clearly mental health crisis time,Negative
300,new music alert bell toll called new anthem make go viral,Positive
301,dems jew rom union medium lugenpresse fakenews socialist educated thrown oranienburg dachau auschwitz etc right wing nationalist colour exclusion persecution,Positive
302,new music alert bell toll called new anthem make go viral,Positive
303,new music alert bell toll called new anthem make go viral,Positive
304,new music alert bell toll called new anthem make go viral,Positive
305,new music alert bell toll called new anthem make go viral,Positive
306,new music alert bell toll called new anthem make go viral,Positive
307,faith without work equal death visit website like subscribe share,Neutral
308,new music alert bell toll called new anthem make go viral,Positive
309,r e cycle want constant state delirium order pursue atrocious matter please want product discount promised,Negative
310,adidas racist adidas racist racist adidas racist racist adidas racist adidas racist adidas racist racist adidas racist stand follow retweet,Neutral
311,continue break boundary continue legacy every day follow see journey,Neutral
312,new music alert bell toll called new anthem make go viral,Positive
313,new music alert bell toll called new anthem make go viral,Positive
314,yall remember time j didnt see way god made way yea lawd glooowwraay halleluyah,Neutral
315,elected official hear outrage type outcry heard,Neutral
316,horrific incident said happened enugu lga election medium talking yet made gunman unknown politricks grown attach le value human life nigeria yet claim,Negative
317,three men found guilty hate crime killing insisted justice son,Negative
318,new music alert bell toll called new anthem make go viral,Positive
319,elton john amp kiki dee true love,Positive
320,god please give family strength shut facility,Neutral
321,new music alert bell toll called new anthem make go viral,Positive
322,mike tmobile user created new music alert bell toll called new anthem make go viral,Positive
323,say name marcus meridy,Neutral
324,ding ding,Neutral
325,new music alert bell toll called new anthem make go viral,Positive
326,new music alert bell toll called new anthem make go viral,Positive
327,new music alert bell toll called new anthem make go viral,Positive
328,shame walgreens photo center employee murdered william hurley shoot thigh co worker twice chest tulsa need help make public,Negative
329,neighbor trial ex louisville cop involved deadly raid testifies gunfire nearly killed,Negative
330,faith without work equal death visit website like subscribe share,Neutral
331,release noah donohoe file sign petition via,Neutral
332,come join u february meeting learn black history socialize u,Negative
333,promise possibility potentiality,Neutral
334,repair damage country inflicted upon black people century demand reparation justice peace,Negative
335,repair damage country inflicted upon black people century demand reparation justice peace,Negative
336,black people never say god already confirmed israelite matter called black hispanic native american visit,Positive
337,michele tafoya exhumes colin kaepernick horse horsepucky statement,Neutral
338,defund raymond police,Neutral
339,celebration black history month quote former president barack obama,Negative
340,belle star sign time,Neutral
341,refugee deserve chance better life,Positive
342,match dis wortf dawg shieeet,Neutral
343,repair damage country inflicted upon black people century demand reparation justice peace,Negative
344,hero idol friend watch new documentary series race,Positive
345,faith without work equal death visit like subscribe share,Neutral
346,today mark two year since ahmaud arbery chased shot jogging black murderer rightfully convicted ahmaud alive today would true justice name renew call,Positive
347,marie osmond paper rose,Positive
348,learned year one mind made diminishes fear rosa park,Neutral
349,jump pushed,Neutral
350,chance pissed someone thread,Neutral
351,look smarter chowder head put together,Neutral
352,extra denuncie,Neutral
353,hashtag find many daily case racially charged police brutality instance racism time get coverage try research since mainstream medium,Positive
354,biography,Neutral
355,extra denuncie,Neutral
356,wed aug portland oregon police shove protester following direction watch,Neutral
357,celebrating barbara rose john black student educator fought equity education work,Positive
358,listen share rockford reading daily podcast black life ever mattered mumia abu jamal,Negative
359,collecting truly touch life need donating sunday feb shelbynext portal week compassion dropdown box check payable saint andrew woc memo line,Neutral
360,black history month cool shout negro,Positive
361,crystal da doo ron ron,Neutral
362,look let mince word law follow get caught,Neutral
363,black men likely get prostate cancer men chance getting prostate cancer,Negative
364,recently made creating got chance illustrate black history american history even current,Negative
365,ahmaud arbery killer found guilty hate crime yesterday justice would ahmaud today must commit building world,Negative
366,extra denuncie,Neutral
367,still see spreading racist violent hate perfectly good violent racist threatening good user facilitating murderous racist,Negative
368,honoring dr rudolph jackson,Neutral
369,u break major party accepting politician acknowledge using n word public successful political tool disgusting see many people silently allowing happen,Positive
370,honoring dr rudolph jackson,Neutral
371,guy mitchell chicka boom,Neutral
372,white life matter,Neutral
373,month world acknowledge part history history history black history end passing month,Negative
374,live convoy dc people convoy day wednesday via,Positive
375,seattle homeless barber free haircut homeless homeless check link community responsibility,Positive
376,fascist gunman shoot five protest killing one,Neutral
377,pleaded hour given help audio amp video said probably faking fuck every damn member staff shift came contact jail,Negative
378,rip ahmaud arbery cant believe year,Neutral
379,sort root problem symptom colored ppl american empire subject higher bail fee,Positive
380,follow glart show case art work enjoyment many soon ntfs paper magazine mosaic paper art,Positive
381,guilty federal hate crime,Negative
382,still seen justice justice,Neutral
383,dove cameron boyfriend,Neutral
384,please join u tonight pm conversation anaka den e howard artschoolscammer chat live streamed youtube,Positive
385,fundraising arm cannibalized crony enrichment party machinery f cked beyond repair say p taking cut spend,Neutral
386,senseless killing ahmaud arbery national tragedy reflect want country speaking loud clear say,Positive
387,tonight pm black woman missing amp murdered chicago uplift shedding light voiceless join amp tonight twitter space,Positive
388,horrific icymi one many way colonial white supremacy amp violence firmly imbedded health care amp many realm medicine,Negative
389,many celebrity called kyle rittinghouse murderer find interesting suing black celebrity called murderer viciously murdered two people black life matter protest got away,Negative
390,obscene inequality world simply astounding,Positive
391,today nd anniversary murder reflect life story yesterday conviction killer federal hate crime step toward justice still work done ensure country,Negative
392,last full week black history month celebrating maggie lena walker,Positive
393,ding,Neutral
394,listen share rockford reading daily podcast black life ever mattered mumia abu jamal,Negative
395,sometime soon need publicly apologize trying cancel music platform since white privileged racist group see anything wrong,Negative
396,faith without work equal death visit website like subscribe share,Neutral
397,ahmaud arbery day yesterday murder found guilty federal hate crime count word mother wanda cooper jones ahmaud continue rest peace begin rest power,Negative
398,rosa park stood civil right sitting let u stand together innocent let make difference donate,Positive
399,riot based lie police officer disproportionately kill people color worst part half country believe lie,Negative
400,amrican imperialism,Neutral
401,brief worry much others think u often stop u taking risk even small one fear judgment ridicule rejection,Negative
402,gucci tried sell rapper jim jones gucci nail polish click via,Neutral
403,cannot imagine pain arbury family going ahmaud mother wanda cooper jones incredible powerful classy woman stop everyone wronged son punished justice done upon,Positive
404,let repeat,Neutral
405,like cop america corrupt af,Negative
406,sophie elli bextor murder dancefloor,Neutral
407,time,Neutral
408,useful thread hackney slave owner huge sum money got compensation abolition notable name include tyssen lot borough still named tyssen family time clean barclays bank,Positive
409,black beautiful saw amazing mural message present beautifully boldly,Positive
410,february rd ahmaud arbery birthday got lunchtime mile,Neutral
411,final book recommendation team black liberation keeanga yamahtta taylor adult skin like mine latashia perry child get full list amp personal account book,Positive
412,amp amp,Neutral
413,jamar clark,Neutral
414,utah saint something good,Positive
415,knowing son cell something horrible tyree bell mom said police felt like comfort support feel anymore,Negative
416,senseless killing ahmaud arbery national tragedy reflect want country speaking loud clear say,Positive
417,honoring life ahmaud arbery life senselessly taken hand racist violence georgia demand justice equity accountability black life across america forgotten,Negative
418,live people convoy hr take via,Positive
419,consistent fine according logic equally wrong hypocrite great day,Positive
420,mon jun orlando florida police tackle amp pepper spray peaceful protester watch,Positive
421,stand portland,Neutral
422,tip iceberg humiliation insult amp dehumanization people endure year read history slavery amp nefariousness treatment meted people heartbroken say,Neutral
423,barack hussein obama first black person president united state u trayvon martin unarmed year old boy fatally shot neighbourhood watch volunteer u network u take knee protest,Positive
424,rocker revenge ft donnie calvin walking sunshine,Neutral
425,middle grade story brilliantly tackle available wherever podcasts found including spotify apple podcasts podbean,Positive
426,last year thankful sad took viral video much time mile run walked today memory,Negative
427,reliance hired gun contractor rather internal party staff fundraising effectively created negative feedback loop pushed party outside political mainstream,Positive
428,faith without work equal death visit website like subscribe share,Neutral
429,apparently white supremacist known aubrey cottle admitted flooding website epilepsy foundation epilepsy inducing image cool,Positive
430,two year ago today chased murdered street bunch racist hick white supremacist forget stop whatever ensure happen,Neutral
431,quote american author alex haley,Neutral
432,ten people ten color contrast snapback cap fuugo shop spreadshirt europe,Neutral
433,defund,Neutral
434,yes life matter however movement life still area country segregated race class white still would never welcome black truth amp seen south jail among qanon ppl,Negative
435,people medium obsessive transphobia homophobia forget real life discrimination majority people facing like etc,Positive
436,repair damage country inflicted upon black people century demand reparation justice peace,Negative
437,play everywhere,Neutral
438,police budget demanded hire msw full time staff mh crisis call paid u like police problem solved one dy university degree year mh training worth week gun training,Positive
439,might know eighteen iconic street mural showcasing art meet artist exhibit downtown branch free miss visit link detail,Positive
440,botham jean,Neutral
441,every song racist attack illegal outdated hurtful,Negative
442,today tomorrow yesterday always,Neutral
443,see thing sing better black man alive dead period problem life know life,Positive
444,glad see behemoth eating welll,Positive
445,racist like say name leftist cause mean movement,Negative
446,youtube racist smh,Neutral
447,arrived,Neutral
448,clearly cannot comprehend distinct difference statement say political organisation activist group go name consider amp think harder order come ignorant,Positive
449,black human struggle far like service support black history black education usd per month,Negative
450,honoring life ahmaud arbery life senselessly taken hand racist violence georgia demand justice equity accountability black life across america forgotten,Negative
451,african american deserves opportunity table represent need concern speak race better u congrats,Positive
452,shoe mean lot,Negative
453,groundbreaking decision yesterday hopefully precedent prosecuting clear message racist think skin color protects,Positive
454,remove racist chair wa clemency amp pardon board sign petition via,Neutral
455,repair damage country inflicted upon black people century demand reparation justice peace,Negative
456,stand w beautiful god filled black bro sister stand shady scam org filled hate deceit laundering act blue nuclear family capitalism strong men true freedom amp,Positive
457,wake spread love x krazyfingaz feat rell click link fist,Positive
458,cannot suit,Neutral
459,ahmaud arbery still u today two year since ahmaud murdered still seeking justice black men killed going jog chloebbren ig,Negative
460,eliminated entrepreneurial job creation creating scalable enterprise ultimately create million job,Neutral
461,bryan stevenson team reversal relief release wrongly condemned death row prisoner sometimes stevenson take break visit sanctuary walking distance office,Negative
462,repair damage country inflicted upon black people century demand reparation justice peace,Negative
463,honoring life ahmaud arbery life senselessly taken hand racist violence georgia demand justice equity accountability black life across america forgotten,Negative
464,explore company reckless drive profit coming community determination hold ancestral land woman willingness sacrifice everything sake people freedom,Neutral
465,sometimes feel like uphill battle progress made three men murdered found guilty charge source,Negative
466,ding ding ding ding ding ding ding ding ding ding ding ding,Neutral
467,resource highlight serf baltimore community providing workshop forum covering range topic subject visit website information,Negative
468,repair damage country inflicted upon black people century demand reparation justice peace,Negative
469,seen second line bigger,Neutral
470,many time old bag call ukraine democracy know lot ukraine democracy,Positive
471,proud innovator educational technology along father,Positive
472,day,Neutral
473,repair damage country inflicted upon black people century demand reparation justice peace,Negative
474,yeah year ago happened feel like fate hand law law side,Neutral
475,machine whitewashing,Neutral
476,repair damage country inflicted upon black people century demand reparation justice peace,Negative
477,happy birthday dear nurse sending sisterhood love solidarity amp appreciation thanks much leading risk,Positive
478,happy birthday dear nurse sending sisterhood love solidarity amp appreciation thanks much leading risk,Positive
479,day,Neutral
480,people like racist sexist etc bruh hate people discriminate hate everyone periodt,Negative
481,wonder blm feel ukraine russia conflict,Neutral
482,day,Neutral
483,black criminal justice expert lay range potential solution address black body across class gender sexuality criminalized,Negative
484,day,Neutral
485,dr yann vivette tsobgni researcher founder resilience institute explain mental health mean lens black community,Negative
486,fund became funding arm,Neutral
487,repair damage country inflicted upon black people century demand reparation justice peace,Negative
488,celebrate courageous creative amp visionary black activist make movement support activist co founder path making work,Positive
489,repair damage country inflicted upon black people century demand reparation justice peace,Negative
490,leyla sall associate professor sociology universit de moncton explain mechanism build systemic racism register,Neutral
491,defund windsor police,Neutral
492,listen education liberation time capsule season episode,Neutral
